ArtikelId,Artikelnummer,Lieferantenreferenznummer,Artikelbezeichnung,ProduktlinieId,Produktline,ProduktbereichId,Produktbereich,ProduktgruppeId,Produktgruppe,ArtikelgruppeId,Artikelgruppe,MarkeId,Marke,ProduktfamilieId,Produktfamilie,MengeneinheitId,Mengeneinheit,Bestand,KollektionsstatusId,Kollektionsstatus,VerkaufspreisBrutto,ZiffernblattfarbeId,Ziffernblattfarbe,ZiffernblattausfuehrungId,Ziffernblattausfuehrung,ZiffernblattbesatzId,Ziffernblattbesatz,ZiffernblattartId,Ziffernblattart,LuenetteId,Luenette,Ringgroesse,Laenge,Durchmesser,WasserdichteId,Wasserdichte,Limitationsnummer,LimitationVon,WerkartId,Werkart,BandartId,Bandart,BandmaterialId,Bandmaterial,SchliesseId,Schliesse,GlasartId,Glasart,OberflaecheId,Oberflaeche,Selektionskennzeichen,Anlagedatum,Lieferantenbarcode,Notiz,Standardbild,IstReserviert,BoxtypId,Boxtyp,Werknummer,Gehaeusenummer,Hoehe,Breite,Tiefe,KaliberId,Kaliber,BandfarbeId,Bandfarbe,LieferantName1,"LieferantName2",Anzahl,PerlartId,Perlart,PerlgroesseId,Perlgroesse,PerlfarbeId,"Perlfarbe",SteinartId,Steinart,SchliffformId,Schliffform,SteinfarbeId,Steinfarbe,ReinheitId,Reinheit,"CtGewicht",FeingehaltId,Feingehalt,MaterialId,Material,FarbeId,Farbe,"Gesamtgewicht",IdentifikationsfeldId,Identifikationsfeld,IdentifikationswertId,"Identifikationswert","BildName"
6200,106196,960104000,"Halsschmuck ""Rundankerkette"" in 585/- Weißgold",6,Schmuck,42,Gold,45,Halsschmuck,282,Divers,21,MK,,,,,0,,,"553,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Poliert,,"22.01.2008 00:00:00",,"Halsschmuck ""Rundankerkette"" in 585/- Weißgold.",6200-815.jpg,False,,,,,,,,,,,,"Martina Köster",,,,,,,,,,,,,,,,,,10,585/ooo,25,Gold,10,Weiß,"4,2600",1,"CWC Artikelnummer",6613,03500538,6200-815.jpg
6727,106723,223723001,"Halsschmuck ""Erbskette"" in 585/- Weißgold ",6,Schmuck,42,Gold,45,Halsschmuck,106,Collierkettchen,21,MK,,,,,1,,,"1195,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Poliert,,"08.07.2015 00:00:00",,"Halsschmuck ""Erbskette"" in 585/- Weißgold.",6727-812.jpg,False,,,,,,,,,,,,"Martina Köster",,,,,,,,,,,,,,,,,,10,585/ooo,25,Gold,10,Weiß,"8,9400",1,"CWC Artikelnummer",6936,03500861,6727-812.jpg
6805,106801,960104000R,"Halsschmuck ""Rundankerkette"" in 585/- Roségold",6,Schmuck,42,Gold,45,Halsschmuck,106,Collierkettchen,21,MK,,,,,1,,,"394,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Poliert,,"06.07.2017 00:00:00",,"Halsschmuck ""Rundankerkette"" in 585/- Roségold.",6805-817.jpg,False,,,,,,,,,,,,"Martina Köster",,,,,,,,,,,,,,,,,,10,585/ooo,25,Gold,12,rosé,"3,9200",1,"CWC Artikelnummer",7005,03500930,6805-817.jpg
6828,106824,416212020,"Damenring in 585 Weißgold mit einem   Blautopas und Diamanten",6,Schmuck,42,Gold,46,Handschmuck,119,Damenring,21,MK,,,,,0,,,"1125,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Poliert,,"30.07.2015 00:00:00",,"Damenring in 585 Weißgold mit einem   Blautopas (behandelt)  und 6 Diamanten 0,06 ct. TW/vvsi. ",6828-796.jpg,False,,,,,,,,,,,,"Martina Köster",,1,,,,,,,51,"Blautopas beh.",,,,,,,"0,0000",10,585/ooo,25,Gold,10,Weiß,"3,2000",1,"CWC Artikelnummer",6949,03500874,6828-796.jpg
6852,106848,963405001/45,"Halsschmuck ""Weitankerkette"" in 585/- Gelbgold",6,Schmuck,42,Gold,45,Halsschmuck,181,Kette,21,MK,,,,,1,,,"530,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Poliert,,"15.11.2018 00:00:00",,"Halsschmuck ""Weitankerkette"" in 585/- Gelbgold. ",6852-806.jpg,False,,,,,,,,,,,,"Martina Köster",,,,,,,,,,,,,,,,,,10,585/ooo,25,Gold,9,Gelb,"5,6200",1,"CWC Artikelnummer",7054,03500979,6852-806.jpg
8238,108233,379/125552,"Halskette ""Y-Kette"" in 585/- Bicolour",6,Schmuck,42,Gold,45,Halsschmuck,181,Kette,21,MK,,,,,0,,,"1290,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.10.2008 00:00:00",,"Halskette ""Y-Kette"" in 585/- Bicolour - Gelbgold und Roségold.",8238-804.jpg,False,,,,,,,,,,,,"Martina Köster",,,,,,,,,,,,,,,,,,10,585/ooo,25,Gold,14,Gelb/Rot,"15,0000",1,"CWC Artikelnummer",368,00100344,8238-804.jpg
8377,108372,S04222,"Halsschmuck mit Süßwasser-Zuchtperlen",6,Schmuck,57,Perlenketten,45,Halsschmuck,282,Divers,,,,,,,1,,,"1450,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06.09.2006 00:00:00",,"Halsschmuck mit 43 Süßwasser-Zuchtperlen<br/>- 9,5-10,0 mm Weiß",8377-822.jpg,False,,,,,,,,,,,,"Martina Köster",,,7,Süßwasser-Zuchtperle,28,"9,5-10,0 mm",12,Weiß,,,,,,,,,,,,,,,,,1,"CWC Artikelnummer",8211,05000098,8377-822.jpg
12948,112943,FM/AP1-010,"Halsschmuck in 950/- Platin mit 1 Brillanten 0,10 ct. TW/vsi von Forevermark",6,Schmuck,37,Diamant,45,Halsschmuck,247,Shorty-Collier,,,,,,,1,,,"1449,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Poliert,,"06.02.2020 11:27:54",,"Halsschmuck in 950/- Platin mit 1 Brillanten 0,10 ct. TW/vsi von Forevermark. Der klassische Halsschmuck von Forevermark zieht mit seinem traumhaften Funkeln alle Blicke auf sich.",12948-306.jpg,False,,,,,,,,3,,,,"Heinz Mayer OHG",,1,,,,,,,54,Diamant,15,Brillant,21,"Top Wesselton(G)",13,"vsi-sehr kleine Einschlüsse","0,1050",16,950/ooo,30,Platin,,,"0,0000",8,"Webshop-Kategorie 1",13244,Forevermark,12948-306.jpg
12949,112944,FM/AP1-015,"Halsschmuck in 950/- Platin mit 1 Brillanten 0,14 ct. TW/vvsi von Forevermark",6,Schmuck,37,Diamant,45,Halsschmuck,247,Shorty-Collier,,,,,,,0,,,"1699,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Poliert,,"06.02.2020 12:04:01",,"Halsschmuck in 950/- Platin mit 1 Brillanten 0,14 ct. TW/vvsi von Forevermark. Der klassische Halsschmuck von Forevermark zieht mit seinem traumhaften Funkeln alle Blicke auf sich.",12949-309.jpg,False,,,,,,,,3,,,,"Heinz Mayer OHG",,1,,,,,,,54,Diamant,15,Brillant,21,"Top Wesselton(G)",14,"vvsi-Sehr,sehr kleine Einschlüsse","0,1400",16,950/ooo,30,Platin,,,"0,0000",8,"Webshop-Kategorie 1",13248,Forevermark,12949-309.jpg
12950,112945,FM/AP1-020,"Halsschmuck in 950/- Platin mit 1 Brillanten 0,20 ct. TW/vsi von Forevermark",6,Schmuck,37,Diamant,45,Halsschmuck,247,Shorty-Collier,,,,,,,1,,,"2139,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Poliert,,"06.02.2020 12:23:47",,"Halsschmuck in 950/- Platin mit 1 Brillanten 0,20 ct. TW/vsi von Forevermark. Der klassische Halsschmuck von Forevermark zieht mit seinem traumhaften Funkeln alle Blicke auf sich.",12950-314.jpg,False,,,,,,,,3,,,,"Heinz Mayer OHG",,1,,,,,,,54,Diamant,15,Brillant,21,"Top Wesselton(G)",13,"vsi-sehr kleine Einschlüsse","0,2000",16,950/ooo,30,Platin,,,"0,0000",8,"Webshop-Kategorie 1",13252,Forevermark,12950-314.jpg
12952,112947,"OH 194 ST","Anhänger ""Weltkugel"" aus Edelstahl - 19mm ",6,Schmuck,37,Diamant,45,Halsschmuck,181,Kette,,,,,,,1,,,"540,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06.02.2020 12:53:45",,"Anhänger ""Weltkugel"" aus Edelstahl - 19mm - Diamanten erweiterbar - Ein Diamant für jeden Ort, an dem Sie glücklich waren.  ",12952-5.jpg,False,,,,,,,,,,,,"Markus Schmidt GmbH",,1,,,,,,,54,Diamant,15,Brillant,21,"Top Wesselton(G)",12,"si-kleine Einschlüsse","0,0025",,,,,,,,8,"Webshop-Kategorie 1",14020,Schmuckwerk,12952-5.jpg
